BioWare Version 5.2.1.3 Export
Device:	Kistler Grande2 9287CA	Kistler Grande2 9287CA
Samples (#):	500	500
Rate (Hz):	50.000000	50.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	499	499
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	9.980000	9.980000
First sample time (s):	0.000000	0.000000
Normalized force (N):	777.645752	777.645752
Normalized length (m):	1.000000	1.000000
File Information
Date	Nov 04, 2013  13:46:47
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
6.460000	-0.037868	-0.010623
6.480000	-0.037106	-0.011539
6.500000	-0.036220	-0.011437
6.520000	-0.034819	-0.011131
6.540000	-0.031963	-0.011084
6.560000	-0.028376	-0.011658
6.580000	-0.026074	-0.011821
6.600000	-0.025215	-0.011328
6.620000	-0.026292	-0.009867
6.640000	-0.028157	-0.007951
6.660000	-0.030639	-0.006076
6.680000	-0.033758	-0.004222
6.700000	-0.036999	-0.002620
6.720000	-0.039725	-0.001559
6.740000	-0.041630	-0.001011
6.760000	-0.042443	-0.000905
6.780000	-0.042278	-0.001610
6.800000	-0.040588	-0.003275
6.820000	-0.036620	-0.006520
6.840000	-0.029265	-0.010593
6.860000	-0.020173	-0.015065
6.880000	-0.013078	-0.019645
6.900000	-0.009375	-0.023014
6.920000	-0.008518	-0.023525
6.940000	-0.009304	-0.020407
6.960000	-0.009849	-0.014665
6.980000	-0.010143	-0.006062
7.000000	-0.012021	0.003524
7.020000	-0.016084	0.008774
7.040000	-0.021722	0.009735
7.060000	-0.027372	0.008577
7.080000	-0.032045	0.007782
7.100000	-0.035083	0.008275
7.120000	-0.035430	0.009503
7.140000	-0.030695	0.010404
7.160000	-0.023699	0.013096
7.180000	-0.020952	0.015291
7.200000	-0.023152	0.015639
7.220000	-0.027359	0.013948
7.240000	-0.029686	0.012052
7.260000	-0.028717	0.010570
7.280000	-0.024732	0.009948
7.300000	-0.018714	0.009577
7.320000	-0.014351	0.009528
7.340000	-0.013705	0.010025
7.360000	-0.014444	0.011153
7.380000	-0.014232	0.013595
7.400000	-0.011796	0.016754
7.420000	-0.007028	0.020045
7.440000	-0.000722	0.023087
7.460000	0.005563	0.025632
7.480000	0.010679	0.026680
7.500000	0.014146	0.027049
7.520000	0.016547	0.027232
7.540000	0.018429	0.027232
7.560000	0.018950	0.027351
7.580000	0.018636	0.027014
7.600000	0.018975	0.026470
7.620000	0.019300	0.025684
7.640000	0.017469	0.024581
7.660000	0.013592	0.023519
7.680000	0.008261	0.022545
7.700000	0.002545	0.021693
7.720000	-0.002531	0.021225
7.740000	-0.005940	0.021048
7.760000	-0.007906	0.020704
7.780000	-0.009045	0.019967
7.800000	-0.009486	0.018344
7.820000	-0.008138	0.015646
7.840000	-0.004380	0.011117
7.860000	-0.000874	0.005491
7.880000	0.002297	-0.000200
7.900000	0.004965	-0.004820
7.920000	0.007099	-0.007893
7.940000	0.007236	-0.009813
7.960000	0.005098	-0.011238
7.980000	0.002012	-0.012528
8.000000	-0.001604	-0.013425
8.020000	-0.005407	-0.013800
8.040000	-0.008121	-0.013765
8.060000	-0.009103	-0.013581
8.080000	-0.008039	-0.012784
8.100000	-0.005642	-0.012475
8.120000	-0.003753	-0.012341
8.140000	-0.003409	-0.012222
8.160000	-0.004965	-0.011752
8.180000	-0.007670	-0.010289
8.200000	-0.010850	-0.007916
8.220000	-0.013168	-0.005476
8.240000	-0.013388	-0.003274
8.260000	-0.012377	-0.001653
8.280000	-0.012638	-0.000669
8.300000	-0.014796	0.000257
8.320000	-0.018269	0.001428
8.340000	-0.021538	0.003359
8.360000	-0.022966	0.006599
8.380000	-0.020863	0.010378
8.400000	-0.015684	0.014482
8.420000	-0.009920	0.017936
8.440000	-0.005498	0.019917
8.460000	-0.002847	0.020533
8.480000	-0.000718	0.020668
8.500000	0.001883	0.020524
8.520000	0.004713	0.019962
8.540000	0.004789	0.019268
8.560000	0.002499	0.018285
8.580000	-0.001028	0.016956
8.600000	-0.003650	0.015144
8.620000	-0.005326	0.013415
8.640000	-0.006471	0.012624
8.660000	-0.006968	0.012821
8.680000	-0.006367	0.014128
8.700000	-0.004135	0.015712
8.720000	0.000700	0.016931
8.740000	0.007064	0.017826
8.760000	0.013174	0.018863
8.780000	0.018013	0.020152
8.800000	0.021160	0.021631
8.820000	0.023736	0.022637
8.840000	0.026999	0.023197
8.860000	0.031274	0.023326
8.880000	0.035645	0.023085
8.900000	0.039923	0.022573
8.920000	0.042268	0.021727
8.940000	0.042075	0.020555
8.960000	0.041230	0.018452
8.980000	0.040097	0.015854
9.000000	0.036795	0.013555
9.020000	0.032579	0.012608
9.040000	0.028716	0.012591
9.060000	0.025606	0.012994
9.080000	0.023538	0.012761
9.100000	0.022145	0.011609
9.120000	0.021581	0.009347
9.140000	0.022936	0.006238
9.160000	0.024546	0.003043
9.180000	0.025650	-0.000550
9.200000	0.026717	-0.003690
9.220000	0.027363	-0.006138
9.240000	0.027849	-0.007439
9.260000	0.027667	-0.007541
9.280000	0.025559	-0.007200
9.300000	0.021307	-0.006564
9.320000	0.016059	-0.005795
9.340000	0.011042	-0.005393
9.360000	0.007321	-0.005166
9.380000	0.004959	-0.005207
9.400000	0.003379	-0.005222
9.420000	0.001421	-0.005008
9.440000	-0.001573	-0.003526
9.460000	-0.004402	-0.001606
9.480000	-0.006630	0.000745
9.500000	-0.008203	0.002863
9.520000	-0.009186	0.003997
9.540000	-0.008837	0.004799
9.560000	-0.006234	0.005788
9.580000	-0.000997	0.005981
9.600000	0.005825	0.005535
9.620000	0.012202	0.004644
9.640000	0.015613	0.002668
9.660000	0.015069	-0.000269
9.680000	0.011593	-0.002420
9.700000	0.008826	-0.003525
9.720000	0.009155	-0.004016
9.740000	0.010682	-0.004376
9.760000	0.012306	-0.004794
9.780000	0.013839	-0.005987
9.800000	0.014681	-0.007778
9.820000	0.015202	-0.009574
9.840000	0.015770	-0.010972
9.860000	0.016778	-0.012017
9.880000	0.018394	-0.012438
9.900000	0.020556	-0.012305
9.920000	0.023795	-0.011720
9.940000	0.027585	-0.010776
9.960000	0.029632	-0.010159
9.980000	0.029701	-0.010902
