BioWare Version 5.3.2.9 Export
Device:	Kistler Grande1 9286BA	Kistler Grande1 9286BA
Samples (#):	70000	70000
Rate (Hz):	1000.000000	1000.000000
Contact period start (sample #):	0	0
Contact period end (sample #):	69999	69999
Contact period start time (s):	0.000000	0.000000
Contact period end time (s):	69.999001	69.999001
First sample time (s):	0.000000	0.000000
Normalized force (N):	1.000000	1.000000
Normalized length (m):	1.000000	1.000000
File Information
Date	Jan 25, 2018  11:14:02
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay
	m	m
0.247000	-0.022212	0.042410
0.248000	-0.022208	0.042457
0.249000	-0.022193	0.042424
0.250000	-0.022185	0.042421
0.251000	-0.022167	0.042446
0.252000	-0.022172	0.042438
0.253000	-0.022148	0.042428
0.254000	-0.022145	0.042425
0.255000	-0.022143	0.042433
0.256000	-0.022137	0.042406
0.257000	-0.022124	0.042423
0.258000	-0.022142	0.042403
0.259000	-0.022108	0.042404
0.260000	-0.022099	0.042398
0.261000	-0.022120	0.042433
0.262000	-0.022099	0.042401
0.263000	-0.022089	0.042385
0.264000	-0.022072	0.042394
0.265000	-0.022061	0.042432
0.266000	-0.022071	0.042386
0.267000	-0.022057	0.042407
0.268000	-0.022069	0.042411
0.269000	-0.022055	0.042421
0.270000	-0.022069	0.042421
0.271000	-0.022039	0.042417
0.272000	-0.022061	0.042451
0.273000	-0.022050	0.042435
0.274000	-0.022061	0.042409
0.275000	-0.022032	0.042402
0.276000	-0.022047	0.042414
0.277000	-0.022045	0.042430
0.278000	-0.022061	0.042451
0.279000	-0.022060	0.042478
0.280000	-0.022049	0.042463
0.281000	-0.022053	0.042446
0.282000	-0.022035	0.042443
0.283000	-0.022005	0.042435
0.284000	-0.022033	0.042404
0.285000	-0.022041	0.042434
0.286000	-0.022061	0.042432
0.287000	-0.022054	0.042438
0.288000	-0.022050	0.042477
0.289000	-0.022034	0.042436
0.290000	-0.022041	0.042451
0.291000	-0.022047	0.042432
0.292000	-0.022033	0.042460
0.293000	-0.022029	0.042459
0.294000	-0.022058	0.042487
0.295000	-0.022066	0.042479
0.296000	-0.022057	0.042498
0.297000	-0.022080	0.042483
0.298000	-0.022085	0.042498
0.299000	-0.022076	0.042514
0.300000	-0.022074	0.042464
