MR32 CSV
Name,EMG 1 channel recording 1-1
Frequency,2000
Date,25-03-2022 10:32:29
"Time,s","VMO RT,uV"
0.2390,-0.6125
0.2395,-0.002135
0.2400,1.219
0.2405,2.745
0.2410,3.05
0.2415,2.134
0.2420,1.524
0.2425,1.219
0.2430,0.3031
0.2435,-0.002135
0.2440,0.3031
0.2445,1.219
0.2450,0.9134
0.2455,0.3031
0.2460,0.3031
0.2465,0.9134
0.2470,0.6083
0.2475,-0.002135
0.2480,-0.002135
0.2485,1.524
0.2490,1.829
0.2495,-0.002135
0.2500,-1.223
0.2505,-0.6125
0.2510,0.3031
0.2515,-0.002135
0.2520,-0.6125
0.2525,-0.002135
0.2530,0.3031
0.2535,-0.002135
0.2540,-0.6125
0.2545,0.3031
0.2550,1.524
0.2555,0.3031
0.2560,-0.6125
0.2565,-0.002135
0.2570,1.219
0.2575,0.3031
0.2580,-1.833
0.2585,-1.528
0.2590,1.219
0.2595,2.745
0.2600,1.829
0.2605,0.3031
0.2610,0.9134
0.2615,1.829
0.2620,2.439
0.2625,3.05
0.2630,3.66
0.2635,2.745
0.2640,0.9134
0.2645,0.3031
0.2650,1.829
0.2655,2.745
0.2660,1.524
0.2665,-0.002135
0.2670,-0.002135
0.2675,0.6083
0.2680,-0.002135
0.2685,-2.138
0.2690,-2.749
0.2695,-1.528
0.2700,-0.6125
0.2705,-0.3073
0.2710,-1.223
0.2715,-3.359
0.2720,-6.411
0.2725,-8.548
0.2730,-8.548
0.2735,-6.716
0.2740,-4.58
0.2745,-3.054
0.2750,-2.444
0.2755,-2.749
0.2760,-3.97
0.2765,-4.885
0.2770,-4.58
0.2775,-3.97
0.2780,-3.97
0.2785,-4.885
0.2790,-4.58
0.2795,-3.97
0.2800,-3.664
0.2805,-3.664
0.2810,-1.833
0.2815,0.3031
0.2820,0.6083
0.2825,-2.444
0.2830,-5.19
0.2835,-4.58
0.2840,-2.749
0.2845,-2.444
0.2850,-3.054
0.2855,-2.444
0.2860,-0.9177
0.2865,-0.6125
0.2870,-1.223
0.2875,-1.223
0.2880,-0.3073
0.2885,-0.002135
0.2890,0.3031
0.2895,0.9134
0.2900,2.439
0.2905,3.05
0.2910,1.829
0.2915,0.9134
0.2920,1.524
0.2925,2.745
0.2930,3.66
0.2935,3.965
0.2940,3.965
0.2945,3.355
0.2950,1.829
0.2955,0.9134
0.2960,1.219
0.2965,2.439
0.2970,3.05
0.2975,2.439
0.2980,1.524
0.2985,1.524
0.2990,2.745
0.2995,3.66
0.3000,3.355
0.3005,2.134
0.3010,1.524
0.3015,1.219
0.3020,1.829
0.3025,2.439
0.3030,3.355
0.3035,3.355
0.3040,2.134
0.3045,0.9134
0.3050,0.3031
0.3055,0.6083
0.3060,1.219
0.3065,1.219
0.3070,1.219
0.3075,0.6083
0.3080,-0.002135
