MR32 CSV
Name,EMG 1 channel recording 1
Frequency,2000
Date,25-03-2022 10:25:34
"Time,s","VMO RT,uV"
0.2195,-1.241
0.2200,-8.261
0.2205,-13.75
0.2210,-11.01
0.2215,-2.462
0.2220,4.863
0.2225,6.999
0.2230,4.863
0.2235,1.505
0.2240,-1.852
0.2245,-3.988
0.2250,-3.683
0.2255,-2.157
0.2260,-3.378
0.2265,-8.871
0.2270,-14.98
0.2275,-16.2
0.2280,-13.45
0.2285,-12.23
0.2290,-15.28
0.2295,-20.16
0.2300,-22.6
0.2305,-20.47
0.2310,-14.67
0.2315,-7.04
0.2320,-0.02059
0.2325,4.252
0.2330,6.694
0.2335,9.44
0.2340,14.93
0.2345,21.65
0.2350,27.45
0.2355,31.72
0.2360,34.47
0.2365,36.3
0.2370,37.82
0.2375,38.43
0.2380,37.52
0.2385,33.55
0.2390,28.36
0.2395,25.62
0.2400,25.92
0.2405,25.62
0.2410,22.26
0.2415,17.38
0.2420,14.02
0.2425,10.97
0.2430,6.083
0.2435,-0.631
0.2440,-7.04
0.2445,-10.4
0.2450,-9.176
0.2455,-3.988
0.2460,1.2
0.2465,4.252
0.2470,3.337
0.2475,0.2846
0.2480,-2.462
0.2485,-4.293
0.2490,-4.293
0.2495,-2.767
0.2500,-3.378
0.2505,-9.176
0.2510,-16.5
0.2515,-19.86
0.2520,-17.72
0.2525,-15.59
0.2530,-18.33
0.2535,-22.91
0.2540,-24.13
0.2545,-21.69
0.2550,-20.47
0.2555,-22.6
0.2560,-24.74
0.2565,-23.22
0.2570,-17.72
0.2575,-11.01
0.2580,-5.514
0.2585,-2.462
0.2590,-1.241
0.2595,-1.547
0.2600,-1.241
0.2605,0.5898
0.2610,4.252
0.2615,6.083
0.2620,3.337
0.2625,-1.547
0.2630,-4.599
0.2635,-3.073
0.2640,0.5898
0.2645,2.726
0.2650,2.726
0.2655,3.947
0.2660,6.999
0.2665,9.135
0.2670,6.083
0.2675,-1.852
0.2680,-9.482
0.2685,-11.01
0.2690,-5.514
0.2695,0.895
0.2700,3.947
0.2705,2.421
0.2710,0.2846
0.2715,-0.02059
0.2720,0.5898
0.2725,1.2
0.2730,1.505
0.2735,2.116
0.2740,1.505
0.2745,-1.241
0.2750,-4.599
0.2755,-6.124
0.2760,-4.293
0.2765,-0.9362
0.2770,2.116
0.2775,4.863
0.2780,6.999
0.2785,8.525
0.2790,8.525
0.2795,8.83
0.2800,10.66
0.2805,13.41
0.2810,16.15
0.2815,19.51
0.2820,23.78
0.2825,26.84
0.2830,24.7
0.2835,17.68
0.2840,10.66
0.2845,6.388
0.2850,3.642
0.2855,-0.02059
0.2860,-3.073
0.2865,-5.209
0.2870,-7.65
0.2875,-11.92
0.2880,-16.81
0.2885,-19.86
0.2890,-21.38
0.2895,-22.6
0.2900,-23.52
0.2905,-22.91
0.2910,-22.3
0.2915,-22.3
0.2920,-21.08
0.2925,-17.72
0.2930,-13.45
0.2935,-11.62
0.2940,-11.31
0.2945,-9.787
0.2950,-6.124
0.2955,-2.767
0.2960,-1.241
0.2965,-0.02059
0.2970,1.811
0.2975,3.337
0.2980,3.947
0.2985,3.642
0.2990,4.252
0.2995,4.863
0.3000,5.778
0.3005,6.388
0.3010,6.083
0.3015,5.473
0.3020,5.473
0.3025,6.999
0.3030,8.83
0.3035,9.135
0.3040,8.22
0.3045,7.609
0.3050,7.304
0.3055,6.999
0.3060,7.304
0.3065,10.05
0.3070,13.71
0.3075,15.24
0.3080,13.71
0.3085,13.1
0.3090,15.24
0.3095,17.99
0.3100,18.29
0.3105,17.07
0.3110,17.68
0.3115,21.95
0.3120,25.92
0.3125,25.31
0.3130,18.9
0.3135,10.97
0.3140,5.168
0.3145,3.031
0.3150,3.642
0.3155,5.168
0.3160,5.168
0.3165,2.116
0.3170,-3.073
0.3175,-8.566
0.3180,-11.62
0.3185,-12.23
0.3190,-12.23
0.3195,-11.31
0.3200,-9.482
0.3205,-8.566
0.3210,-10.4
0.3215,-13.14
0.3220,-13.14
0.3225,-9.176
0.3230,-6.124
0.3235,-8.261
0.3240,-14.36
0.3245,-19.55
0.3250,-20.77
0.3255,-18.33
0.3260,-14.36
0.3265,-10.7
0.3270,-9.176
0.3275,-8.566
0.3280,-7.65
0.3285,-6.124
0.3290,-5.209
0.3295,-5.514
0.3300,-4.599
0.3305,-2.767
0.3310,-3.378
0.3315,-7.65
0.3320,-12.53
0.3325,-12.84
0.3330,-8.261
0.3335,-3.988
0.3340,-3.073
0.3345,-3.683
0.3350,-2.462
0.3355,0.2846
0.3360,2.726
0.3365,3.642
0.3370,3.642
0.3375,3.947
0.3380,4.557
0.3385,4.557
0.3390,4.557
0.3395,4.252
0.3400,3.642
0.3405,2.116
0.3410,0.895
0.3415,1.505
0.3420,3.031
0.3425,4.557
0.3430,4.252
0.3435,3.337
0.3440,2.421
0.3445,2.116
0.3450,2.421
0.3455,3.337
0.3460,3.642
0.3465,2.726
0.3470,0.895
0.3475,0.895
0.3480,3.031
0.3485,5.168
0.3490,5.473
0.3495,4.252
0.3500,3.031
0.3505,3.031
0.3510,2.726
0.3515,2.116
0.3520,1.505
0.3525,1.2
0.3530,1.811
0.3535,1.811
0.3540,0.895
0.3545,0.5898
0.3550,1.811
0.3555,3.947
0.3560,5.473
0.3565,5.778
0.3570,6.694
0.3575,9.746
0.3580,13.71
0.3585,16.46
0.3590,18.29
0.3595,19.82
0.3600,21.34
0.3605,21.34
0.3610,20.73
0.3615,21.04
0.3620,21.95
0.3625,21.95
0.3630,20.73
0.3635,17.07
0.3640,9.135
0.3645,-2.767
0.3650,-14.06
0.3655,-20.47
0.3660,-22.6
0.3665,-26.57
0.3670,-34.2
0.3675,-40
0.3680,-38.17
0.3685,-30.23
0.3690,-22.3
0.3695,-18.03
0.3700,-16.81
0.3705,-16.5
0.3710,-16.5
0.3715,-16.2
0.3720,-14.98
0.3725,-11.62
0.3730,-7.345
0.3735,-4.599
0.3740,-3.683
0.3745,-3.073
0.3750,-1.547
0.3755,-0.02059
0.3760,-0.02059
0.3765,-0.02059
0.3770,2.116
0.3775,5.778
0.3780,8.83
0.3785,10.97
0.3790,14.63
0.3795,19.21
0.3800,22.87
0.3805,25.01
0.3810,28.67
0.3815,35.38
0.3820,43.01
0.3825,48.2
0.3830,50.03
0.3835,48.2
0.3840,40.88
0.3845,27.45
0.3850,13.71
0.3855,5.168
0.3860,2.421
0.3865,-0.631
0.3870,-8.871
0.3875,-21.08
0.3880,-33.9
0.3885,-46.41
0.3890,-58.31
0.3895,-66.55
0.3900,-65.33
0.3905,-55.26
0.3910,-43.97
0.3915,-40.31
0.3920,-44.58
0.3925,-47.94
0.3930,-43.66
0.3935,-33.29
0.3940,-24.13
0.3945,-20.16
0.3950,-19.25
0.3955,-18.03
0.3960,-15.28
0.3965,-10.7
0.3970,-4.293
0.3975,3.337
0.3980,9.746
0.3985,13.1
0.3990,14.02
0.3995,13.71
0.4000,12.8
0.4005,11.27
0.4010,10.05
0.4015,10.97
0.4020,12.19
0.4025,11.27
0.4030,8.22
0.4035,5.778
0.4040,6.388
0.4045,7.914
0.4050,8.525
0.4055,8.525
0.4060,9.135
0.4065,10.97
0.4070,11.88
0.4075,11.27
0.4080,9.746
0.4085,9.746
0.4090,10.66
0.4095,11.58
0.4100,12.19
0.4105,12.19
0.4110,12.19
0.4115,11.58
0.4120,10.66
0.4125,10.36
0.4130,10.36
0.4135,9.746
0.4140,8.525
0.4145,7.609
0.4150,7.914
0.4155,8.22
0.4160,7.914
0.4165,7.304
0.4170,6.694
0.4175,6.999
0.4180,6.999
0.4185,6.388
0.4190,5.473
0.4195,4.863
0.4200,5.168
0.4205,6.694
0.4210,7.914
0.4215,9.44
0.4220,11.58
0.4225,13.41
0.4230,13.71
0.4235,12.8
0.4240,13.1
0.4245,14.63
0.4250,15.24
0.4255,12.8
0.4260,6.694
0.4265,-1.241
0.4270,-9.482
0.4275,-14.67
0.4280,-15.28
0.4285,-12.53
0.4290,-9.176
0.4295,-7.04
0.4300,-5.514
0.4305,-5.209
0.4310,-7.345
0.4315,-11.01
0.4320,-11.62
0.4325,-8.566
0.4330,-5.819
0.4335,-5.514
0.4340,-5.819
0.4345,-3.683
0.4350,-0.3258
0.4355,1.2
0.4360,0.5898
0.4365,-0.3258
0.4370,-1.852
0.4375,-3.683
0.4380,-5.209
0.4385,-5.819
0.4390,-5.514
0.4395,-5.209
0.4400,-3.988
0.4405,-2.157
0.4410,-1.241
0.4415,-1.852
0.4420,-2.462
0.4425,-1.547
0.4430,-0.631
0.4435,-0.9362
0.4440,-1.852
0.4445,-1.852
0.4450,-1.547
0.4455,-1.241
0.4460,-0.02059
0.4465,3.337
0.4470,8.22
0.4475,13.41
0.4480,18.9
0.4485,25.31
0.4490,30.19
0.4495,32.33
0.4500,33.55
0.4505,35.99
0.4510,37.21
0.4515,33.55
0.4520,25.62
0.4525,17.68
0.4530,11.58
0.4535,4.863
0.4540,-4.293
0.4545,-16.2
0.4550,-28.4
0.4555,-39.7
0.4560,-48.24
0.4565,-51.29
0.4570,-47.94
0.4575,-41.53
0.4580,-37.86
0.4585,-38.48
0.4590,-40.92
0.4595,-40.31
0.4600,-36.03
0.4605,-30.23
0.4610,-25.35
0.4615,-21.38
0.4620,-16.5
0.4625,-10.7
0.4630,-5.819
0.4635,-3.073
0.4640,-1.852
0.4645,-0.02059
0.4650,2.421
0.4655,4.863
0.4660,5.473
0.4665,4.557
0.4670,3.031
0.4675,2.421
0.4680,2.726
0.4685,2.726
0.4690,2.116
0.4695,0.895
0.4700,1.2
0.4705,2.116
0.4710,2.726
0.4715,1.811
0.4720,1.505
0.4725,2.726
0.4730,4.557
0.4735,5.473
0.4740,5.473
0.4745,5.778
0.4750,6.388
0.4755,5.778
0.4760,4.863
0.4765,5.168
0.4770,6.694
0.4775,7.609
0.4780,6.999
0.4785,6.083
0.4790,6.388
0.4795,6.694
0.4800,6.083
0.4805,5.473
0.4810,5.168
0.4815,5.778
0.4820,6.388
0.4825,6.694
0.4830,6.999
0.4835,6.999
0.4840,6.999
0.4845,7.304
0.4850,7.914
0.4855,7.914
0.4860,8.22
0.4865,8.22
0.4870,7.914
0.4875,7.609
0.4880,7.914
0.4885,9.44
0.4890,10.66
0.4895,10.05
0.4900,7.914
0.4905,5.473
0.4910,2.726
0.4915,0.895
0.4920,0.5898
0.4925,1.2
0.4930,0.5898
0.4935,-1.547
0.4940,-4.599
0.4945,-4.904
0.4950,-2.462
0.4955,0.2846
0.4960,2.726
0.4965,4.252
0.4970,3.947
0.4975,1.811
0.4980,0.5898
0.4985,2.421
0.4990,5.778
0.4995,6.388
0.5000,3.031
0.5005,0.5898
0.5010,1.811
0.5015,5.168
0.5020,5.473
0.5025,2.726
0.5030,-1.241
0.5035,-3.988
0.5040,-4.904
0.5045,-5.819
0.5050,-7.65
0.5055,-10.4
0.5060,-11.62
0.5065,-10.09
0.5070,-7.04
0.5075,-5.209
0.5080,-3.988
0.5085,-2.462
0.5090,-2.462
0.5095,-4.293
0.5100,-5.819
0.5105,-3.988
0.5110,-0.02059
0.5115,1.811
0.5120,0.5898
0.5125,-0.3258
0.5130,0.5898
0.5135,3.337
0.5140,4.863
0.5145,5.168
0.5150,5.473
0.5155,6.083
0.5160,6.694
0.5165,8.525
0.5170,10.66
0.5175,12.19
0.5180,11.88
0.5185,10.36
0.5190,7.914
0.5195,4.252
0.5200,0.2846
0.5205,-0.9362
0.5210,-0.02059
0.5215,1.505
0.5220,1.811
0.5225,0.5898
0.5230,-1.852
0.5235,-5.819
0.5240,-11.01
0.5245,-15.28
0.5250,-17.42
0.5255,-18.94
0.5260,-19.86
0.5265,-19.55
0.5270,-17.11
0.5275,-14.36
0.5280,-12.53
0.5285,-11.31
0.5290,-8.566
0.5295,-5.514
0.5300,-3.378
0.5305,-2.462
0.5310,-2.157
0.5315,-1.852
0.5320,-1.852
0.5325,-1.241
0.5330,-0.3258
0.5335,-0.02059
0.5340,-0.02059
0.5345,0.2846
0.5350,1.505
0.5355,2.116
0.5360,1.2
0.5365,0.2846
0.5370,2.116
0.5375,5.168
0.5380,7.304
0.5385,7.609
0.5390,7.304
0.5395,8.22
0.5400,8.83
0.5405,6.999
0.5410,4.252
0.5415,2.421
0.5420,2.421
0.5425,3.337
0.5430,2.726
0.5435,1.505
0.5440,0.895
0.5445,1.505
0.5450,3.031
0.5455,3.642
0.5460,2.116
0.5465,0.2846
0.5470,0.2846
0.5475,1.505
0.5480,2.116
0.5485,1.2
0.5490,-0.02059
0.5495,-0.02059
0.5500,0.5898
0.5505,0.2846
0.5510,-0.9362
0.5515,-1.852
0.5520,-1.241
0.5525,-0.02059
0.5530,-0.02059
0.5535,-0.02059
0.5540,-0.3258
0.5545,-0.02059
0.5550,0.2846
0.5555,0.5898
0.5560,0.2846
0.5565,-0.3258
0.5570,-0.9362
0.5575,-0.631
0.5580,0.2846
0.5585,1.505
0.5590,1.811
0.5595,1.2
0.5600,0.2846
0.5605,-0.02059
0.5610,0.5898
0.5615,0.895
0.5620,-0.02059
0.5625,-0.9362
0.5630,-0.9362
0.5635,0.2846
0.5640,1.505
0.5645,1.2
0.5650,-0.02059
0.5655,-0.02059
0.5660,-0.02059
0.5665,-1.241
0.5670,-2.767
0.5675,-3.073
0.5680,-2.462
0.5685,-2.157
0.5690,-3.378
0.5695,-4.293
0.5700,-3.683
0.5705,-2.157
0.5710,-1.241
0.5715,-0.9362
0.5720,-0.9362
0.5725,-0.9362
0.5730,-1.547
0.5735,-1.852
0.5740,-1.241
0.5745,-0.3258
0.5750,-0.02059
0.5755,-0.3258
0.5760,-0.3258
0.5765,-0.3258
0.5770,-0.631
0.5775,-1.547
0.5780,-2.157
0.5785,-1.241
0.5790,-0.3258
0.5795,-0.3258
0.5800,-0.631
0.5805,-0.9362
0.5810,-0.631
0.5815,-0.02059
0.5820,0.2846
0.5825,0.895
0.5830,0.895
0.5835,-0.02059
0.5840,-1.241
0.5845,-0.9362
0.5850,0.5898
0.5855,2.726
0.5860,3.642
0.5865,3.337
0.5870,2.421
0.5875,2.421
0.5880,3.642
0.5885,4.557
0.5890,5.168
0.5895,4.557
0.5900,3.947
0.5905,3.337
0.5910,3.337
0.5915,2.726
0.5920,1.2
0.5925,-0.02059
0.5930,-0.3258
0.5935,0.5898
0.5940,0.895
0.5945,-0.02059
0.5950,-0.631
0.5955,-0.9362
0.5960,-0.9362
0.5965,-2.462
0.5970,-4.599
0.5975,-5.209
0.5980,-4.904
0.5985,-4.293
0.5990,-4.293
0.5995,-3.988
0.6000,-2.462
0.6005,-0.9362
0.6010,-0.02059
0.6015,-0.02059
0.6020,-0.631
0.6025,-0.631
0.6030,-0.02059
0.6035,-0.02059
0.6040,-0.631
0.6045,-1.852
0.6050,-2.462
0.6055,-1.547
0.6060,-0.9362
0.6065,-1.241
0.6070,-1.547
0.6075,-0.9362
0.6080,-0.02059
0.6085,0.2846
0.6090,0.2846
0.6095,0.895
0.6100,1.505
0.6105,0.895
0.6110,-0.02059
0.6115,-0.3258
0.6120,-0.02059
0.6125,0.2846
0.6130,-0.02059
0.6135,-0.02059
0.6140,0.2846
0.6145,0.2846
0.6150,-0.3258
0.6155,-0.9362
