RI	RS	VM	VL
-319.3341894740502	-537.8260033247161	-3260.5701451560917	857.1601927987663
-403.36950249353714	-605.0542537403056	-3008.464206097631	941.1955058182534
-453.7906903052293	-487.404815513024	-3899.238524104192	436.9836277013319
-302.5271268701528	-134.45650083117903	-3983.273837123679	-134.45650083117903
-168.07062603897378	84.03531301948689	-3613.518459837937	-302.5271268701528
-151.2635634350764	50.42118781169214	-2588.287641000197	184.8776886428712
-235.29887645456336	-16.80706260389738	-655.4754415519978	487.404815513024
-168.07062603897378	100.84237562338429	2689.1300166235806	336.14125207794757
-100.84237562338429	33.61412520779476	4184.958588370448	369.7553772857424
-67.22825041558951	100.84237562338429	991.6166936299454	-184.8776886428712
67.22825041558951	235.29887645456336	-369.7553772857424	-806.7390049870743
470.5977529091267	302.5271268701528	-2235.3393263183516	-873.9672554026638
1210.1085074806113	319.3341894740502	-3025.2712687015287	-789.9319423831769
1512.6356343507643	487.404815513024	-4184.958588370448	-1495.828571746867
1327.7579457078932	420.17656509743455	-2420.2170149612225	-2050.4616376754807
823.5460675909717	168.07062603897378	1294.1438205000984	-1831.9698238248145
50.42118781169214	117.64943822728168	3327.7983955716813	-890.7743180065611
-470.5977529091267	-84.03531301948689	3294.1842703638868	840.3531301948691
-840.3531301948691	-369.7553772857424	2437.02407756512	1563.0568221624562
-991.6166936299454	-336.14125207794757	2000.0404498637884	1193.301444876714
-941.1955058182534	-369.7553772857424	3226.956019948297	689.0895667597925
-588.2471911364083	-504.2118781169214	3932.852649311987	151.2635634350764
-100.84237562338429	-319.3341894740502	2890.8147678703494	-1546.249759558559
184.8776886428712	-218.49181385066595	1697.5133229936355	-1714.3203855975325
151.2635634350764	-134.45650083117903	-201.68475124676857	-1008.4237562338428
201.68475124676857	67.22825041558951	-3714.360835461321	-268.91300166235806
403.36950249353714	352.948314681845	-3949.659711915884	151.2635634350764
268.91300166235806	386.56243988963973	-4386.643339617216	840.3531301948691
67.22825041558951	218.49181385066595	-4554.71396565619	403.36950249353714
50.42118781169214	319.3341894740502	-3647.1325850457315	-302.5271268701528
84.03531301948689	386.56243988963973	352.948314681845	-722.7036919675874
151.2635634350764	268.91300166235806	4168.151525766551	-705.89662936369
-134.45650083117903	50.42118781169214	4084.1162127470634	235.29887645456336
-521.0189407208188	0.0	3243.7630825521946	840.3531301948691
-857.1601927987663	-403.36950249353714	4521.099840448395	1798.3556986170197
-773.1248797792795	-319.3341894740502	2554.6735157924018	1899.198074240404
-621.861316344203	-285.72006426625546	-705.89662936369	1882.3910116365068
-285.72006426625546	-201.68475124676857	-5294.224720227675	924.3884432143559
50.42118781169214	-134.45650083117903	-6168.191975630339	-403.36950249353714
100.84237562338429	-319.3341894740502	-2554.6735157924018	-621.861316344203
100.84237562338429	-302.5271268701528	453.7906903052293	-806.7390049870743
84.03531301948689	-84.03531301948689	-1361.3720709156878	-1243.722632688406
0.0	-117.64943822728168	739.5107545714848	-554.6330659286136
-151.2635634350764	-218.49181385066595	3226.956019948297	352.948314681845
-268.91300166235806	-201.68475124676857	436.9836277013319	487.404815513024
-252.1059390584607	-50.42118781169214	168.07062603897378	285.72006426625546
16.80706260389738	-33.61412520779476	554.6330659286136	890.7743180065611
0.0	84.03531301948689	1008.4237562338428	941.1955058182534
0.0	16.80706260389738	941.1955058182534	352.948314681845
100.84237562338429	134.45650083117903	974.809631026048	-352.948314681845
84.03531301948689	100.84237562338429	991.6166936299454	-470.5977529091267
134.45650083117903	33.61412520779476	2151.3040132988644	-235.29887645456336
84.03531301948689	16.80706260389738	3310.991332967784	-252.1059390584607
84.03531301948689	67.22825041558951	2336.181701941736	-605.0542537403056
168.07062603897378	100.84237562338429	218.49181385066595	-789.9319423831769
571.4401285325109	0.0	-705.89662936369	-100.84237562338429
907.5813806104586	100.84237562338429	-1327.7579457078932	-605.0542537403056
907.5813806104586	201.68475124676857	-2857.200642662555	-1647.0921351819434
873.9672554026638	268.91300166235806	-3462.25489640286	-2806.7794548508623
487.404815513024	134.45650083117903	-773.1248797792795	-2336.181701941736
84.03531301948689	168.07062603897378	521.0189407208188	-1294.1438205000984
-117.64943822728168	67.22825041558951	773.1248797792795	-16.80706260389738
-487.404815513024	-420.17656509743455	-50.42118781169214	1327.7579457078932
-521.0189407208188	-386.56243988963973	-470.5977529091267	1630.2850725780459
-537.8260033247161	-386.56243988963973	1092.4590692533297	1243.722632688406
-386.56243988963973	-235.29887645456336	-436.9836277013319	369.7553772857424
-235.29887645456336	-134.45650083117903	1445.4073839351747	521.0189407208188
-184.8776886428712	-134.45650083117903	2100.8828254871723	958.0025684221506
117.64943822728168	134.45650083117903	-974.809631026048	252.1059390584607
235.29887645456336	252.1059390584607	-3848.8173362925	-773.1248797792795
453.7906903052293	369.7553772857424	-4184.958588370448	-2033.6545750715832
756.3178171753822	504.2118781169214	-4420.257464825011	-1294.1438205000984
487.404815513024	537.8260033247161	-6269.034351253723	-33.61412520779476
-84.03531301948689	319.3341894740502	-3832.0102736886024	1042.0378814416376
-655.4754415519978	-302.5271268701528	3714.360835461321	1966.4263246559935
-1092.4590692533297	-554.6330659286136	6016.928412195262	2789.972392246965
-1226.9155700845088	-806.7390049870743	4437.064527428909	2638.708828811889
-1260.5296952923036	-941.1955058182534	3176.5348321366046	1764.7415734092249
-1075.6520066494322	-789.9319423831769	319.3341894740502	621.861316344203
-638.6683789481004	-487.404815513024	-1126.0731944611243	-151.2635634350764
-235.29887645456336	-285.72006426625546	-1949.619262052096	-352.948314681845
100.84237562338429	-100.84237562338429	-1932.8121994481987	-537.8260033247161
134.45650083117903	-16.80706260389738	-773.1248797792795	-621.861316344203
100.84237562338429	-16.80706260389738	-773.1248797792795	-789.9319423831769
184.8776886428712	67.22825041558951	-605.0542537403056	-1159.6873196689191
252.1059390584607	117.64943822728168	-386.56243988963973	-1109.2661318572273
453.7906903052293	319.3341894740502	33.61412520779476	-1462.214446539072
621.861316344203	453.7906903052293	2336.181701941736	-1529.4426969546614
773.1248797792795	588.2471911364083	3109.3065817210154	-2151.3040132988644
1092.4590692533297	638.6683789481004	621.861316344203	-1596.670947370251
1092.4590692533297	369.7553772857424	1126.0731944611243	-84.03531301948689
857.1601927987663	403.36950249353714	1663.8991977858407	470.5977529091267
420.17656509743455	-16.80706260389738	-352.948314681845	1226.9155700845088
218.49181385066595	-100.84237562338429	1798.3556986170197	2050.4616376754807
-151.2635634350764	-302.5271268701528	4941.27640554583	2672.3229540196835
-285.72006426625546	-168.07062603897378	3781.5890858769103	1731.12744820143
-319.3341894740502	-386.56243988963973	1781.5486360131222	1058.844944045535
-403.36950249353714	-319.3341894740502	-470.5977529091267	-470.5977529091267
-285.72006426625546	-302.5271268701528	-3865.6243988963975	-184.8776886428712
-252.1059390584607	-521.0189407208188	-4353.029214409422	487.404815513024
