Devices
1000
,,Imported Kistler Force Plate (Internal Amplifier) - Force,,,Imported Kistler Force Plate (Internal Amplifier) - Moment,,,Imported Kistler Force Plate (Internal Amplifier) - CoP,,,Imported Kistler Force Plate (Internal Amplifier) - Force,,,Imported Kistler Force Plate (Internal Amplifier) - Moment,,,Imported Kistler Force Plate (Internal Amplifier) - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
9,3,-24.8032,18.6857,-741.615,-169728,67189.3,2920.11,390.599,678.863,0,11.0211,-15.0917,-169.416,-1269.42,-31607.6,4772.9,735.432,457.493,0
9,4,-24.8794,18.8058,-736.298,-171041,67522.1,3221.91,391.705,682.298,0,9.922,-14.1507,-163.39,-2369.51,-31005.8,4597.83,732.235,464.502,0
10,0,-24.5771,19.6547,-743.403,-171780,68146,3483.15,391.668,681.073,0,8.56972,-14.1928,-162.96,-20.6921,-29415.2,4199.58,741.495,450.127,0
10,1,-25.2845,19.8561,-747.527,-174525,67517.2,3353.67,390.321,683.47,0,8.94576,-13.7143,-156.806,-2478.16,-30396,4552.5,728.156,465.804,0
10,2,-26.8968,21.0294,-747.377,-173472,67543.9,3683.24,390.375,682.108,0,8.83075,-13.0577,-151.931,-1412.79,-27908.5,4220.77,738.308,459.299,0
10,3,-26.7745,21.4682,-752.357,-176722,66851.7,3690.02,388.856,684.891,0,9.08974,-12.8734,-152.808,-3031.48,-27871.8,3935.49,739.603,469.839,0
10,4,-27.6757,21.2324,-755.954,-177500,67362.7,4247.12,389.11,684.802,0,7.93514,-12.4997,-147.751,-3902.06,-28038.1,3971.28,732.234,476.41,0
11,0,-28.0063,21.197,-759.29,-179768,67075.1,3845.25,388.339,686.758,0,8.39019,-13.2157,-147.268,-4105.86,-27597,4215.96,734.606,477.88,0
11,1,-27.0869,22.8082,-764.751,-180876,67647.1,5005.22,388.456,686.516,0,8.03478,-11.1257,-145.556,-3450.96,-24828.5,4179.83,751.423,473.709,0
11,2,-28.9078,22.8316,-772.008,-182148,66392.8,4582.67,386,685.941,0,8.3381,-12.9797,-144.938,-2727.81,-26143.4,3719.31,741.623,468.821,0
11,3,-29.8091,23.777,-767.077,-184426,67217.3,5047.03,387.628,690.427,0,6.3944,-12.7405,-134.124,-2416.95,-24089.2,4346.57,742.396,468.02,0
11,4,-30.6418,24.0659,-773.005,-185384,66250.5,4885.17,385.705,689.823,0,6.44313,-11.6024,-133.669,-2637.14,-24960.5,3444.14,735.266,469.729,0
12,0,-31.2783,24.6101,-772.546,-185525,68188.9,5553.99,388.265,690.148,0,5.92194,-11.6036,-131.744,-2743.03,-23430.6,3710.35,744.15,470.821,0
12,1,-32.1495,24.7132,-779.326,-187342,67373.4,5312.39,386.451,690.39,0,5.76436,-11.404,-125.392,-1893.72,-22984.1,3492.35,738.703,465.102,0
12,2,-31.8203,24.9383,-784.309,-190936,67488.8,5965.31,386.049,693.445,0,5.16225,-10.6671,-123.883,-2706.71,-22431.7,3868.65,740.929,471.849,0
12,3,-33.6972,25.89,-787.438,-189454,67367.7,6065.89,385.553,690.596,0,5.76348,-10.6673,-120.613,-1515.13,-21417.5,3688.91,744.429,462.562,0
12,4,-34.437,27.0115,-788.586,-194667,67332.3,6394.7,385.384,696.856,0,5.68447,-10.4258,-118.233,-2496.62,-20779.2,3454.15,746.252,471.116,0
13,0,-35.1033,26.9856,-789.819,-194672,68326.9,6826.79,386.51,696.476,0,5.50889,-10.5285,-120.129,-1343.4,-20771.5,3269.67,749.09,461.183,0
13,1,-35.5872,28.1476,-790.854,-193692,66168.2,6756.97,383.667,694.914,0,5.90907,-9.44826,-116.884,-3515.44,-20407.1,2989.11,747.407,480.076,0
13,2,-36.5075,29.2571,-796.934,-194993,67242.2,7442.22,384.376,694.679,0,5.1289,-9.37155,-112.657,-989.213,-19412.1,3335.15,749.689,458.781,0
13,3,-36.7373,28.8773,-807.845,-198612,66112.7,6916.63,381.838,695.854,0,5.03277,-9.40893,-111.297,-682.306,-18755.6,2794.44,753.481,456.13,0
13,4,-37.9585,29.9069,-806.04,-200495,65971.2,7701.34,381.846,698.741,0,5.34969,-8.17319,-106.925,-1077.58,-17656.4,3137.11,756.871,460.078,0
14,0,-38.6669,31.1358,-809.25,-199627,65830.7,7683.64,381.348,696.681,0,3.67815,-8.79359,-108.028,-1723.52,-16961.3,2690.71,764.993,465.954,0
14,1,-38.845,31.5998,-812.601,-201487,66613.9,8007.7,381.976,697.953,0,5.03409,-7.95459,-100.337,-1748.82,-16750.6,2822.76,755.056,467.43,0
14,2,-39.5504,31.8083,-808.147,-199808,65982.4,8288.76,381.646,697.242,0,4.2782,-7.57844,-99.7572,126.687,-15626.5,2743.59,765.354,448.73,0
14,3,-39.371,32.5496,-819.607,-205582,66288.4,8126.5,380.878,700.83,0,3.39795,-7.11502,-96.9911,-418.729,-16119.4,2553.25,755.805,454.317,0
