CSV File Version 2
Avi TimeStamp, Frame,Spot x,Spot y,Pupil x,Pupil y,Pupil r,Scene x,Scene y,Mouse x, Mouse y
 0:00:06.20, 187, 298.82,294.09,286.53,269.61,54.61,206.82,210.38,726.00,601.00
 0:00:06.24, 188, 296.17,300.68,281.99,283.31,54.41,201.72,237.03,726.00,601.00
 0:00:06.27, 189, 297.15,300.68,283.24,283.83,54.52,204.15,237.72,726.00,601.00
 0:00:06.30, 190, 297.71,300.63,284.15,284.59,54.65,205.01,240.39,726.00,601.00
 0:00:06.34, 191, 297.99,300.89,284.09,284.76,54.22,204.32,241.75,726.00,601.00
 0:00:06.37, 192, 298.18,300.83,285.38,285.06,54.40,206.57,241.88,726.00,601.00
 0:00:06.40, 193, 298.26,300.88,284.89,284.82,54.19,206.38,241.75,726.00,601.00
 0:00:06.44, 194, 298.14,301.00,285.11,285.15,54.23,206.30,242.03,726.00,601.00
 0:00:06.47, 195, 298.34,301.14,284.32,285.03,53.53,204.59,241.83,726.00,601.00
 0:00:06.50, 196, 298.33,300.97,285.80,285.36,54.46,206.88,242.10,726.00,601.00
 0:00:06.54, 197, 298.34,305.79,286.09,296.18,53.62,210.56,265.45,726.00,601.00
 0:00:06.57, 198, 298.93,306.04,286.92,295.46,53.55,212.10,263.85,726.00,601.00
 0:00:06.60, 199, 299.53,306.07,287.39,295.07,53.66,211.95,261.18,726.00,601.00
 0:00:06.64, 200, 300.02,305.90,288.79,294.79,53.60,213.88,259.86,726.00,601.00
 0:00:06.67, 201, 298.85,308.00,284.53,299.99,52.74,205.96,271.95,726.00,601.00
 0:00:06.70, 202, 299.65,307.79,-2000.00,-2000.00,-2000.00,208.59,270.76,726.00,601.00
 0:00:06.74, 203, 299.62,307.73,284.81,299.55,52.70,203.05,272.38,726.00,601.00
 0:00:06.77, 204, 299.83,307.50,-2000.00,-2000.00,-2000.00,203.71,271.30,726.00,601.00
 0:00:06.80, 205, 299.80,307.49,287.75,299.62,54.35,208.73,272.40,726.00,601.00
 0:00:06.84, 206, 299.33,307.75,284.10,300.28,54.06,203.61,275.14,726.00,601.00
 0:00:06.87, 207, 299.06,308.07,-2000.00,-2000.00,-2000.00,202.80,276.63,726.00,601.00
 0:00:06.90, 208, 299.02,307.90,284.80,300.80,54.37,202.40,276.59,726.00,601.00
 0:00:06.94, 209, 299.06,307.86,283.45,300.51,54.12,200.56,276.35,726.00,601.00
 0:00:06.97, 210, 301.66,308.15,-2000.00,-2000.00,-2000.00,209.32,276.65,726.00,601.00
 0:00:07.01, 211, 303.56,308.49,-2000.00,-2000.00,-2000.00,215.75,277.47,726.00,601.00
 0:00:07.04, 212, 303.86,308.32,-2000.00,-2000.00,-2000.00,216.71,276.66,726.00,601.00
 0:00:07.07, 213, 304.02,308.32,294.67,302.15,54.95,220.12,277.74,726.00,601.00
 0:00:07.11, 214, 304.46,308.24,-2000.00,-2000.00,-2000.00,221.55,277.23,726.00,601.00
 0:00:07.14, 215, 304.60,308.38,295.32,302.99,54.34,223.35,280.36,726.00,601.00
 0:00:07.17, 216, 305.67,308.46,298.61,302.08,54.52,229.41,278.31,726.00,601.00
 0:00:07.21, 217, 306.97,309.00,297.17,302.82,52.54,225.65,278.55,726.00,601.00
 0:00:07.24, 218, 307.18,308.94,299.94,303.30,54.24,227.42,279.15,726.00,601.00
 0:00:07.27, 219, 307.31,309.00,299.73,302.86,53.90,229.63,278.53,726.00,601.00
 0:00:07.31, 220, 307.39,308.72,299.77,302.67,53.41,229.02,277.70,726.00,601.00
 0:00:07.34, 221, 307.54,308.86,300.84,302.50,53.49,231.32,277.43,726.00,601.00
 0:00:07.37, 222, 305.01,311.99,293.98,309.17,52.69,219.46,291.62,726.00,601.00
 0:00:07.41, 223, 305.42,312.01,295.59,307.49,53.14,220.09,287.18,726.00,601.00
 0:00:07.44, 224, 305.38,311.88,295.50,308.10,53.01,220.92,286.58,726.00,601.00
 0:00:07.47, 225, 305.84,311.85,293.51,307.63,52.38,215.34,287.17,726.00,601.00
 0:00:07.51, 226, 305.64,311.37,297.56,307.72,53.44,222.12,286.72,726.00,601.00
 0:00:07.54, 227, 306.03,311.29,297.75,308.49,53.57,227.70,289.62,726.00,601.00
 0:00:07.57, 228, 306.12,309.89,294.18,305.49,52.00,217.81,285.67,726.00,601.00
 0:00:07.61, 229, 305.96,308.61,297.08,302.70,53.13,220.28,279.67,726.00,601.00
 0:00:07.64, 230, 306.14,308.62,298.03,301.95,53.54,226.28,277.09,726.00,601.00
 0:00:07.67, 231, 306.39,308.31,297.04,301.77,53.15,224.17,276.14,726.00,601.00
 0:00:07.71, 232, 306.61,308.29,298.01,300.92,53.62,224.39,274.59,726.00,601.00
 0:00:07.74, 233, 306.85,308.33,298.34,300.56,53.24,225.48,272.45,726.00,601.00
 0:00:07.77, 234, 307.05,308.09,299.38,301.15,53.98,227.68,273.48,726.00,601.00
 0:00:07.81, 235, 307.13,308.09,298.40,300.17,53.03,225.90,272.52,726.00,601.00
 0:00:07.84, 236, 307.18,307.87,299.37,300.89,53.72,226.88,273.28,726.00,601.00
 0:00:07.87, 237, 307.73,309.11,299.49,302.46,53.41,227.71,277.41,726.00,601.00
 0:00:07.91, 238, 307.81,309.39,300.25,303.76,53.83,228.43,278.97,726.00,601.00
 0:00:07.94, 239, 303.69,312.69,292.22,310.18,52.73,215.64,294.00,726.00,601.00
 0:00:07.97, 240, 304.79,312.14,296.26,309.34,54.02,223.72,290.82,726.00,601.00
 0:00:08.01, 241, 305.18,312.04,295.89,308.39,53.41,224.61,288.83,726.00,601.00
 0:00:08.04, 242, 305.50,311.94,296.32,308.22,53.59,223.80,287.62,726.00,601.00
 0:00:08.07, 243, 305.82,312.01,295.83,308.27,53.09,221.92,287.91,726.00,601.00
 0:00:08.11, 244, 305.75,312.04,296.71,308.23,53.23,222.81,287.55,726.00,601.00
 0:00:08.14, 245, 305.91,310.30,295.05,305.87,52.11,219.53,283.64,726.00,601.00
 0:00:08.17, 246, 305.83,309.69,298.09,303.11,54.03,224.53,278.46,726.00,601.00
 0:00:08.21, 247, 306.20,309.73,298.29,304.22,53.90,228.47,279.02,726.00,601.00
 0:00:08.24, 248, 306.32,309.89,296.57,303.32,52.67,223.39,278.32,726.00,601.00
 0:00:08.27, 249, 306.61,309.85,-2000.00,-2000.00,-2000.00,224.34,278.04,726.00,601.00
 0:00:08.31, 250, 306.66,309.49,-2000.00,-2000.00,-2000.00,224.44,276.43,726.00,601.00
 0:00:08.34, 251, 306.68,308.95,298.32,301.27,53.20,224.56,272.36,726.00,601.00
 0:00:08.37, 252, 303.91,305.84,296.54,295.37,54.06,224.71,260.54,726.00,601.00
 0:00:08.41, 253, 304.30,305.96,296.22,297.01,53.21,227.89,265.34,726.00,601.00
 0:00:08.44, 254, 304.42,305.95,296.93,296.47,53.45,228.19,265.71,726.00,601.00
 0:00:08.47, 255, 304.69,306.36,297.18,297.20,53.32,229.05,266.39,726.00,601.00
