CSV File Version 2
Avi TimeStamp, Frame,Spot x,Spot y,Pupil x,Pupil y,Pupil r,Scene x,Scene y,AVI file path,Mouse x, Mouse y
 0:00:06.64, 115461, 254.86,263.50,264.68,237.44,74.72,250.97,236.84,,295.00,605.00
 0:00:06.71, 115462, 182.83,240.81,-2000.00,-2000.00,-2000.00,51.24,132.66,,295.00,605.00
 0:00:06.74, 115463, 217.68,327.97,-2000.00,-2000.00,-2000.00,160.83,549.73,,295.00,605.00
 0:00:06.81, 115464, 187.10,246.78,-2000.00,-2000.00,-2000.00,63.69,160.97,,295.00,605.00
 0:00:06.84, 115465, 188.18,247.09,140.50,184.38,75.11,90.99,151.88,,295.00,605.00
 0:00:06.91, 115466, 190.24,247.73,141.32,182.49,74.05,102.33,142.74,,295.00,605.00
 0:00:06.98, 115467, 192.24,248.37,-2000.00,-2000.00,-2000.00,107.87,145.59,,295.00,605.00
 0:00:07.01, 115468, 192.73,247.97,144.43,186.81,73.59,102.85,146.92,,295.00,605.00
 0:00:07.08, 115469, 190.74,244.88,142.86,174.03,72.21,99.55,128.59,,295.00,605.00
 0:00:07.11, 115470, 190.74,244.74,145.25,175.82,74.01,105.76,128.05,,295.00,605.00
 0:00:07.18, 115471, 191.56,245.27,145.44,178.10,74.69,107.60,133.69,,295.00,605.00
 0:00:07.24, 115472, 191.61,245.38,136.58,176.38,68.71,91.23,132.02,,295.00,605.00
 0:00:07.28, 115473, 191.59,245.62,143.00,178.96,72.90,94.59,134.56,,295.00,605.00
 0:00:07.34, 115474, 189.77,251.85,140.47,195.62,73.73,97.95,163.91,,295.00,605.00
 0:00:07.38, 115475, 189.95,251.86,136.50,192.26,70.86,91.95,157.43,,295.00,605.00
 0:00:07.44, 115476, 190.52,251.33,127.77,192.93,68.90,73.03,156.51,,295.00,605.00
 0:00:07.48, 115477, 190.77,251.00,142.14,195.77,74.72,88.95,162.68,,295.00,605.00
 0:00:07.54, 115478, 188.87,260.60,-2000.00,-2000.00,-2000.00,85.15,209.47,,295.00,605.00
 0:00:07.61, 115479, 190.98,260.44,138.29,222.16,74.53,95.36,210.52,,295.00,605.00
 0:00:07.64, 115480, 191.68,260.23,131.12,218.48,70.79,78.90,204.34,,295.00,605.00
 0:00:07.71, 115481, 192.56,259.42,139.22,220.50,74.75,84.63,205.03,,295.00,605.00
 0:00:07.78, 115482, 192.87,258.86,139.80,219.17,74.34,90.71,206.31,,295.00,605.00
 0:00:07.81, 115483, 193.10,258.04,133.51,217.05,71.07,79.77,203.43,,295.00,605.00
 0:00:07.88, 115484, 202.37,256.32,-2000.00,-2000.00,-2000.00,104.67,193.75,,295.00,605.00
 0:00:07.91, 115485, 202.19,256.17,163.51,215.13,76.70,117.43,198.32,,295.00,605.00
 0:00:07.98, 115486, 202.89,256.05,164.03,214.83,76.39,127.19,200.07,,295.00,605.00
 0:00:08.04, 115487, 202.97,256.09,163.75,214.91,76.19,125.89,200.33,,295.00,605.00
 0:00:08.08, 115488, 202.97,256.09,154.12,213.96,72.49,109.32,199.84,,295.00,605.00
 0:00:08.14, 115489, 203.22,255.76,151.37,212.47,69.43,96.30,197.21,,295.00,605.00
 0:00:08.18, 115490, 203.21,255.94,-2000.00,-2000.00,-2000.00,96.32,198.08,,295.00,605.00
 0:00:08.25, 115491, 226.76,268.11,-2000.00,-2000.00,-2000.00,162.63,256.34,,295.00,605.00
 0:00:08.31, 115492, 229.65,268.19,211.04,242.49,75.92,175.67,244.78,,295.00,605.00
 0:00:08.35, 115493, 230.20,267.95,212.28,243.26,76.25,181.38,240.88,,295.00,605.00
 0:00:08.41, 115494, 230.35,267.49,214.19,240.35,76.41,184.42,236.78,,295.00,605.00
 0:00:08.45, 115495, 225.14,266.81,201.03,238.63,74.73,166.69,230.82,,295.00,605.00
 0:00:08.51, 115496, 218.00,265.62,190.53,237.07,75.60,152.30,228.89,,295.00,605.00
 0:00:08.58, 115497, 217.78,265.24,190.16,237.77,74.73,155.58,231.65,,295.00,605.00
 0:00:08.61, 115498, 217.75,264.65,190.21,236.53,74.64,155.75,231.11,,295.00,605.00
 0:00:08.68, 115499, 217.51,264.13,189.75,230.04,73.16,154.96,220.36,,295.00,605.00
 0:00:08.75, 115500, 218.02,265.84,190.64,236.61,73.32,156.28,227.13,,295.00,605.00
 0:00:08.78, 115501, 221.72,268.38,198.47,243.62,73.13,167.68,242.83,,295.00,605.00
 0:00:08.85, 115502, 222.63,268.82,200.30,241.82,72.72,170.03,238.93,,295.00,605.00
 0:00:08.88, 115503, 231.49,268.25,218.69,241.36,72.80,194.33,234.86,,295.00,605.00
 0:00:08.95, 115504, 232.02,268.11,218.82,240.02,72.60,194.10,233.53,,295.00,605.00
 0:00:09.01, 115505, 232.48,267.64,219.80,239.55,72.34,194.51,231.88,,295.00,605.00
 0:00:09.05, 115506, 232.44,267.23,220.06,238.73,72.33,194.99,231.23,,295.00,605.00
 0:00:09.11, 115507, 232.61,266.73,220.20,236.64,72.13,195.24,227.85,,295.00,605.00
 0:00:09.15, 115508, 232.57,266.60,220.94,237.04,72.41,196.37,228.01,,295.00,605.00
 0:00:09.21, 115509, 232.77,266.16,220.47,236.92,72.23,196.13,228.52,,295.00,605.00
 0:00:09.28, 115510, 233.04,265.73,221.37,236.19,72.28,196.69,228.30,,295.00,605.00
 0:00:09.31, 115511, 233.20,265.63,221.31,234.87,72.20,196.68,226.39,,295.00,605.00
 0:00:09.38, 115512, 233.37,264.35,221.48,234.06,72.23,196.41,224.19,,295.00,605.00
 0:00:09.41, 115513, 233.54,264.48,221.92,233.07,72.58,196.91,224.95,,295.00,605.00
 0:00:09.48, 115514, 233.74,263.67,221.22,231.72,72.43,195.47,221.38,,295.00,605.00
 0:00:09.55, 115515, 266.23,284.45,276.38,281.31,61.10,266.23,299.38,,295.00,605.00
 0:00:09.58, 115516, 268.78,284.19,296.21,285.59,72.85,287.68,297.81,,295.00,605.00
 0:00:09.65, 115517, 271.41,284.66,299.01,286.11,75.53,303.18,304.34,,295.00,605.00
 0:00:09.71, 115518, 272.77,284.66,299.85,284.86,75.65,300.96,299.75,,295.00,605.00
 0:00:09.75, 115519, 252.27,272.79,-2000.00,-2000.00,-2000.00,242.59,249.39,,295.00,605.00
 0:00:09.81, 115520, 234.27,263.96,224.66,234.30,74.98,198.08,220.80,,295.00,605.00
 0:00:09.85, 115521, 234.88,264.08,227.56,233.62,75.07,206.71,227.39,,295.00,605.00
 0:00:09.91, 115522, 230.02,259.94,217.38,222.69,74.14,193.48,206.06,,295.00,605.00
 0:00:09.98, 115523, 231.48,260.44,218.24,224.44,73.77,193.82,209.79,,295.00,605.00
 0:00:10.01, 115524, 231.90,260.54,217.28,225.04,72.94,190.05,211.19,,295.00,605.00
 0:00:10.08, 115525, 247.89,269.86,252.54,247.72,74.23,237.95,251.00,,295.00,605.00
 0:00:10.11, 115526, 249.22,269.81,255.25,246.83,74.85,243.02,246.18,,295.00,605.00
 0:00:10.18, 115527, 250.27,269.05,257.04,246.17,75.56,245.10,244.53,,295.00,605.00
 0:00:10.25, 115528, 258.50,269.24,273.77,245.68,76.05,266.68,244.49,,295.00,605.00
 0:00:10.28, 115529, 258.67,268.47,274.48,245.07,76.35,267.35,242.78,,295.00,605.00
 0:00:10.35, 115530, 258.40,268.44,273.69,244.30,76.56,266.52,242.84,,295.00,605.00
 0:00:10.38, 115531, 258.40,268.43,273.21,243.87,76.51,265.42,241.66,,295.00,605.00
 0:00:10.45, 115532, 240.88,264.79,-2000.00,-2000.00,-2000.00,217.00,224.83,,295.00,605.00
 0:00:10.48, 115533, 213.18,258.30,190.40,220.77,74.28,157.95,202.07,,295.00,605.00
 0:00:10.55, 115534, 215.65,259.43,188.04,219.31,75.62,161.30,204.34,,295.00,605.00
 0:00:10.61, 115535, 216.81,259.62,187.72,216.93,74.82,153.23,196.37,,295.00,605.00
 0:00:10.65, 115536, 241.26,265.14,235.80,231.98,72.53,214.78,220.25,,295.00,605.00
 0:00:10.72, 115537, 245.61,265.37,245.17,233.08,74.88,225.07,221.78,,295.00,605.00
 0:00:10.75, 115538, 245.89,265.11,247.54,231.67,75.80,229.03,219.93,,295.00,605.00
 0:00:10.82, 115539, 245.74,264.65,247.43,231.44,76.47,230.42,219.07,,295.00,605.00
 0:00:10.85, 115540, 245.69,264.76,247.45,231.26,76.59,230.69,219.69,,295.00,605.00
 0:00:10.92, 115541, 245.53,265.02,246.89,231.89,76.46,230.01,220.27,,295.00,605.00
 0:00:10.98, 115542, 242.62,264.12,241.61,229.87,76.06,223.08,216.61,,295.00,605.00
 0:00:11.02, 115543, 243.09,264.04,241.54,230.88,75.91,223.33,218.84,,295.00,605.00
 0:00:11.08, 115544, 243.58,264.81,242.08,232.54,75.77,223.15,222.64,,295.00,605.00
 0:00:11.12, 115545, 243.90,265.69,242.72,233.62,75.83,223.62,223.90,,295.00,605.00
 0:00:11.18, 115546, 237.59,264.43,230.05,232.51,75.20,206.95,220.44,,295.00,605.00
 0:00:11.25, 115547, 238.45,264.63,231.11,233.19,74.72,208.57,223.84,,295.00,605.00
 0:00:11.28, 115548, 238.63,264.33,231.19,233.44,74.84,207.95,224.40,,295.00,605.00
 0:00:11.35, 115549, 206.20,246.41,193.24,199.83,69.78,117.55,171.78,,295.00,605.00
 0:00:11.38, 115550, 182.91,240.82,-2000.00,-2000.00,-2000.00,53.44,147.74,,295.00,605.00
 0:00:11.45, 115551, 185.18,244.39,135.12,170.91,73.66,83.98,138.90,,295.00,605.00
 0:00:11.48, 115552, 186.59,244.64,134.02,165.35,69.52,92.68,109.03,,295.00,605.00
 0:00:11.55, 115553, 189.47,244.81,-2000.00,-2000.00,-2000.00,100.56,109.55,,295.00,605.00
 0:00:11.62, 115554, 193.11,243.85,146.78,172.59,72.05,106.00,115.73,,295.00,605.00
 0:00:11.65, 115555, 193.76,243.69,148.30,172.57,71.41,107.64,123.80,,295.00,605.00
 0:00:11.72, 115556, 194.47,243.18,149.64,173.24,71.77,109.53,125.34,,295.00,605.00
 0:00:11.75, 115557, 194.58,242.82,149.93,172.78,71.64,109.87,126.41,,295.00,605.00
 0:00:11.82, 115558, 194.42,243.04,135.92,169.64,64.23,86.16,122.34,,295.00,605.00
 0:00:11.88, 115559, 190.74,254.19,-2000.00,-2000.00,-2000.00,77.55,176.28,,295.00,605.00
 0:00:11.92, 115560, 191.59,254.51,-2000.00,-2000.00,-2000.00,79.89,177.72,,295.00,605.00
 0:00:11.98, 115561, 192.62,254.40,-2000.00,-2000.00,-2000.00,82.69,177.08,,295.00,605.00
 0:00:12.02, 115562, 193.16,254.19,140.10,205.51,68.59,84.15,179.72,,295.00,605.00
 0:00:12.08, 115563, 194.00,252.59,134.41,201.45,64.78,79.54,176.59,,295.00,605.00
 0:00:12.15, 115564, 193.64,246.76,-2000.00,-2000.00,-2000.00,77.80,148.58,,295.00,605.00
 0:00:12.18, 115565, 194.29,245.18,-2000.00,-2000.00,-2000.00,79.37,140.92,,295.00,605.00
 0:00:12.25, 115566, 193.36,250.27,140.05,209.00,71.96,83.69,190.32,,295.00,605.00
